Fold,Total Parameters,Image Size,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,Test Accuracy
1,1.639.019,224,0.8161290287971497,0.4723881483078003,0.875,0.36827248334884644,75.93985199928284
2,1.639.019,224,0.772042989730835,0.5593603253364563,0.7980769276618958,0.4377708435058594,78.19548845291138
3,1.639.019,224,0.7688171863555908,0.5559270977973938,0.7019230723381042,0.7179683446884155,75.18796920776367
4,1.639.019,224,0.758324384689331,0.5852174162864685,0.8058252334594727,0.5093867778778076,72.18044996261597
5,1.639.019,224,0.772042989730835,0.5633490681648254,0.7692307829856873,0.5486357808113098,63.90977501869202
6,1.639.019,224,0.7744361162185669,0.5735609531402588,0.7961165308952332,0.4828348159790039,72.18044996261597
7,1.639.019,224,0.7808807492256165,0.5250521898269653,0.8349514603614807,0.45751187205314636,81.20300769805908
8,1.639.019,224,0.7808807492256165,0.5444125533103943,0.7961165308952332,0.6425641775131226,86.46616339683533
9,1.639.019,224,0.7776584029197693,0.5779377818107605,0.7281553149223328,0.652800977230072,72.18044996261597
10,1.639.019,224,0.7733619809150696,0.5567294359207153,0.7669903039932251,0.5846523642539978,76.69172883033752
